	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa
OG0014916				FOXG_03959-t26_1-p1					
OG0014917				FOXG_03963-t26_1-p1					
OG0014918				FOXG_03964-t26_1-p1					
OG0014919				FOXG_03965-t26_1-p1					
OG0014920				FOXG_03968-t26_1-p1					
OG0014921				FOXG_03970-t26_1-p1					
OG0014922				FOXG_03977-t26_1-p1					
OG0014923				FOXG_03978-t26_1-p1					
OG0014924				FOXG_03982-t26_1-p1					
OG0014925				FOXG_03984-t26_1-p1					
OG0014926				FOXG_03986-t26_1-p1					
OG0014927				FOXG_03992-t26_1-p1					
OG0014928				FOXG_03993-t26_1-p1					
OG0014929				FOXG_03993-t26_2-p1					
OG0014930				FOXG_03993-t26_3-p1					
OG0014931				FOXG_04008-t26_1-p1					
OG0014932				FOXG_04011-t26_1-p1					
OG0014933				FOXG_04012-t26_1-p1					
OG0014934				FOXG_04015-t26_1-p1					
OG0014935				FOXG_04028-t26_1-p1					
OG0014936				FOXG_04028-t26_2-p1					
OG0014937				FOXG_04028-t26_3-p1					
OG0014938				FOXG_04034-t26_1-p1					
OG0014939				FOXG_04035-t26_2-p1					
OG0014940				FOXG_04040-t26_1-p1					
OG0014941				FOXG_04042-t26_1-p1					
OG0014942				FOXG_04044-t26_1-p1					
OG0014943				FOXG_04051-t26_1-p1					
OG0014944				FOXG_04052-t26_1-p1					
OG0014945				FOXG_04053-t26_1-p1					
OG0014946				FOXG_04055-t26_1-p1					
OG0014947				FOXG_04057-t26_1-p1					
OG0014948				FOXG_04057-t26_2-p1					
OG0014949				FOXG_04057-t26_3-p1					
OG0014950				FOXG_04059-t26_1-p1					
OG0014951				FOXG_04064-t26_1-p1					
OG0014952				FOXG_04065-t26_1-p1					
OG0014953				FOXG_04068-t26_1-p1					
OG0014954				FOXG_04077-t26_1-p1					
OG0014955				FOXG_04089-t26_1-p1					
OG0014956				FOXG_04101-t26_1-p1					
OG0014957				FOXG_04107-t26_1-p1					
OG0014958				FOXG_04109-t26_1-p1					
OG0014959				FOXG_04110-t26_1-p1					
OG0014960				FOXG_04116-t26_1-p1					
OG0014961				FOXG_04123-t26_1-p1					
OG0014962				FOXG_04123-t26_2-p1					
OG0014963				FOXG_04125-t26_1-p1					
OG0014964				FOXG_04126-t26_1-p1					
OG0014965				FOXG_04128-t26_1-p1					
OG0014966				FOXG_04130-t26_1-p1					
OG0014967				FOXG_04133-t26_1-p1					
OG0014968				FOXG_04136-t26_1-p1					
OG0014969				FOXG_04137-t26_1-p1					
OG0014970				FOXG_04138-t26_1-p1					
OG0014971				FOXG_04138-t26_2-p1					
OG0014972				FOXG_04140-t26_1-p1					
OG0014973				FOXG_04191-t26_1-p1					
OG0014974				FOXG_04250-t26_1-p1					
OG0014975				FOXG_04265-t26_1-p1					
OG0014976				FOXG_04265-t26_2-p1					
OG0014977				FOXG_04265-t26_3-p1					
OG0014978				FOXG_04265-t26_4-p1					
OG0014979				FOXG_04275-t26_1-p1					
OG0014980				FOXG_04282-t26_1-p1					
OG0014981				FOXG_04297-t26_1-p1					
OG0014982				FOXG_04309-t26_1-p1					
OG0014983				FOXG_04309-t26_2-p1					
OG0014984				FOXG_04310-t26_1-p1					
OG0014985				FOXG_04311-t26_1-p1					
OG0014986				FOXG_04314-t26_1-p1					
OG0014987				FOXG_04317-t26_1-p1					
OG0014988				FOXG_04332-t26_1-p1					
OG0014989				FOXG_04334-t26_1-p1					
OG0014990				FOXG_04335-t26_1-p1					
OG0014991				FOXG_04337-t26_1-p1					
OG0014992				FOXG_04338-t26_1-p1					
OG0014993				FOXG_04356-t26_1-p1					
OG0014994				FOXG_04358-t26_1-p1					
OG0014995				FOXG_04370-t26_1-p1					
OG0014996				FOXG_04372-t26_1-p1					
OG0014997				FOXG_04374-t26_1-p1					
OG0014998				FOXG_04378-t26_1-p1					
OG0014999				FOXG_04382-t26_1-p1					
OG0015000				FOXG_04384-t26_1-p1					
OG0015001				FOXG_04385-t26_1-p1					
OG0015002				FOXG_04385-t26_2-p1					
OG0015003				FOXG_04385-t26_3-p1					
OG0015004				FOXG_04390-t26_1-p1					
OG0015005				FOXG_04392-t26_1-p1					
OG0015006				FOXG_04400-t26_1-p1					
OG0015007				FOXG_04404-t26_1-p1					
OG0015008				FOXG_04406-t26_1-p1					
OG0015009				FOXG_04421-t26_2-p1					
OG0015010				FOXG_04423-t26_1-p1					
OG0015011				FOXG_04424-t26_1-p1					
OG0015012				FOXG_04425-t26_1-p1					
OG0015013				FOXG_04429-t26_1-p1					
OG0015014				FOXG_04446-t26_1-p1					
OG0015015				FOXG_04447-t26_1-p1					
OG0015016				FOXG_04451-t26_1-p1					
OG0015017				FOXG_04453-t26_1-p1					
OG0015018				FOXG_04455-t26_1-p1					
OG0015019				FOXG_04457-t26_1-p1					
OG0015020				FOXG_04461-t26_1-p1					
OG0015021				FOXG_04466-t26_1-p1					
OG0015022				FOXG_04467-t26_1-p1					
OG0015023				FOXG_04468-t26_1-p1					
OG0015024				FOXG_04469-t26_1-p1					
OG0015025				FOXG_04470-t26_1-p1					
OG0015026				FOXG_04471-t26_1-p1					
OG0015027				FOXG_04478-t26_1-p1					
OG0015028				FOXG_04489-t26_2-p1					
OG0015029				FOXG_04490-t26_1-p1					
OG0015030				FOXG_04491-t26_1-p1					
OG0015031				FOXG_04492-t26_1-p1					
OG0015032				FOXG_04502-t26_1-p1					
OG0015033				FOXG_04506-t26_1-p1					
OG0015034				FOXG_04512-t26_1-p1					
OG0015035				FOXG_04517-t26_1-p1					
OG0015036				FOXG_04520-t26_1-p1					
OG0015037				FOXG_04521-t26_1-p1					
OG0015038				FOXG_04523-t26_1-p1					
OG0015039				FOXG_04528-t26_1-p1					
OG0015040				FOXG_04531-t26_1-p1					
OG0015041				FOXG_04541-t26_1-p1					
OG0015042				FOXG_04542-t26_1-p1					
OG0015043				FOXG_04548-t26_1-p1					
OG0015044				FOXG_04549-t26_1-p1					
OG0015045				FOXG_04553-t26_1-p1					
OG0015046				FOXG_04554-t26_1-p1					
OG0015047				FOXG_04557-t26_1-p1					
OG0015048				FOXG_04557-t26_2-p1					
OG0015049				FOXG_04557-t26_3-p1					
OG0015050				FOXG_04557-t26_4-p1					
OG0015051				FOXG_04559-t26_1-p1					
OG0015052				FOXG_04562-t26_1-p1					
OG0015053				FOXG_04571-t26_1-p1					
OG0015054				FOXG_04574-t26_1-p1					
OG0015055				FOXG_04576-t26_1-p1					
OG0015056				FOXG_04584-t26_1-p1					
OG0015057				FOXG_04585-t26_1-p1					
OG0015058				FOXG_04599-t26_1-p1					
OG0015059				FOXG_04604-t26_1-p1					
OG0015060				FOXG_04606-t26_1-p1					
OG0015061				FOXG_04609-t26_1-p1					
OG0015062				FOXG_04610-t26_1-p1					
OG0015063				FOXG_04610-t26_2-p1					
OG0015064				FOXG_04612-t26_1-p1					
OG0015065				FOXG_04613-t26_1-p1					
OG0015066				FOXG_04614-t26_1-p1					
OG0015067				FOXG_04616-t26_1-p1					
OG0015068				FOXG_04617-t26_1-p1					
OG0015069				FOXG_04618-t26_1-p1					
OG0015070				FOXG_04619-t26_1-p1					
OG0015071				FOXG_04620-t26_1-p1					
OG0015072				FOXG_04627-t26_1-p1					
OG0015073				FOXG_04638-t26_1-p1					
OG0015074				FOXG_04639-t26_1-p1					
OG0015075				FOXG_04641-t26_1-p1					
OG0015076				FOXG_04648-t26_1-p1					
OG0015077				FOXG_04651-t26_1-p1					
OG0015078				FOXG_04651-t26_2-p1					
OG0015079				FOXG_04651-t26_3-p1					
OG0015080				FOXG_04651-t26_4-p1					
OG0015081				FOXG_04652-t26_1-p1					
OG0015082				FOXG_04656-t26_1-p1					
OG0015083				FOXG_04657-t26_1-p1					
OG0015084				FOXG_04658-t26_1-p1					
OG0015085				FOXG_04661-t26_1-p1					
OG0015086				FOXG_04666-t26_1-p1					
OG0015087				FOXG_04672-t26_1-p1					
OG0015088				FOXG_04673-t26_1-p1					
OG0015089				FOXG_04680-t26_1-p1					
OG0015090				FOXG_04681-t26_1-p1					
OG0015091				FOXG_04683-t26_1-p1					
OG0015092				FOXG_04686-t26_1-p1					
OG0015093				FOXG_04686-t26_2-p1					
OG0015094				FOXG_04689-t26_1-p1					
OG0015095				FOXG_04689-t26_2-p1					
OG0015096				FOXG_07380-t26_1-p1					
OG0015097				FOXG_07381-t26_1-p1					
OG0015098				FOXG_07389-t26_1-p1					
OG0015099				FOXG_07392-t26_1-p1					
OG0015100				FOXG_07396-t26_1-p1					
OG0015101				FOXG_07397-t26_1-p1					
OG0015102				FOXG_07403-t26_1-p1					
OG0015103				FOXG_07404-t26_1-p1					
OG0015104				FOXG_07407-t26_1-p1					
OG0015105				FOXG_07408-t26_1-p1					
OG0015106				FOXG_07413-t26_1-p1					
OG0015107				FOXG_07418-t26_1-p1					
OG0015108				FOXG_07419-t26_1-p1					
OG0015109				FOXG_07420-t26_1-p1					
OG0015110				FOXG_07422-t26_1-p1					
OG0015111				FOXG_07422-t26_2-p1					
OG0015112				FOXG_07423-t26_1-p1					
OG0015113				FOXG_07433-t26_1-p1					
OG0015114				FOXG_07434-t26_1-p1					
OG0015115				FOXG_07440-t26_1-p1					
OG0015116				FOXG_07441-t26_1-p1					
OG0015117				FOXG_07442-t26_1-p1					
OG0015118				FOXG_07448-t26_1-p1					
OG0015119				FOXG_07449-t26_1-p1					
OG0015120				FOXG_07451-t26_1-p1					
OG0015121				FOXG_07452-t26_1-p1					
OG0015122				FOXG_07454-t26_1-p1					
OG0015123				FOXG_07471-t26_1-p1					
OG0015124				FOXG_07481-t26_1-p1					
OG0015125				FOXG_07485-t26_1-p1					
OG0015126				FOXG_07503-t26_1-p1					
OG0015127				FOXG_07504-t26_1-p1					
OG0015128				FOXG_07505-t26_1-p1					
OG0015129				FOXG_07508-t26_1-p1					
OG0015130				FOXG_07509-t26_1-p1					
OG0015131				FOXG_07515-t26_1-p1					
OG0015132				FOXG_07517-t26_1-p1					
OG0015133				FOXG_07523-t26_1-p1					
OG0015134				FOXG_07530-t26_1-p1					
OG0015135				FOXG_07533-t26_1-p1					
OG0015136				FOXG_07534-t26_1-p1					
OG0015137				FOXG_07536-t26_1-p1					
OG0015138				FOXG_07537-t26_1-p1					
OG0015139				FOXG_07545-t26_1-p1					
OG0015140				FOXG_07547-t26_1-p1					
OG0015141				FOXG_07553-t26_1-p1					
OG0015142				FOXG_07553-t26_2-p1					
OG0015143				FOXG_07562-t26_1-p1					
OG0015144				FOXG_07563-t26_1-p1					
OG0015145				FOXG_07564-t26_1-p1					
OG0015146				FOXG_07565-t26_1-p1					
OG0015147				FOXG_07566-t26_1-p1					
OG0015148				FOXG_07567-t26_1-p1					
OG0015149				FOXG_07568-t26_1-p1					
OG0015150				FOXG_07569-t26_1-p1					
OG0015151				FOXG_07570-t26_1-p1					
OG0015152				FOXG_07571-t26_1-p1					
OG0015153				FOXG_07581-t26_1-p1					
OG0015154				FOXG_07584-t26_1-p1					
OG0015155				FOXG_07591-t26_1-p1					
OG0015156				FOXG_07598-t26_1-p1					
OG0015157				FOXG_07609-t26_1-p1					
OG0015158				FOXG_07610-t26_1-p1					
OG0015159				FOXG_07625-t26_1-p1					
OG0015160				FOXG_07626-t26_1-p1					
OG0015161				FOXG_07626-t26_2-p1					
OG0015162				FOXG_07629-t26_1-p1					
OG0015163				FOXG_07634-t26_1-p1					
OG0015164				FOXG_07640-t26_1-p1					
OG0015165				FOXG_07642-t26_1-p1					
OG0015166				FOXG_07648-t26_1-p1					
OG0015167				FOXG_07658-t26_1-p1					
OG0015168				FOXG_07662-t26_1-p1					
OG0015169				FOXG_07667-t26_1-p1					
OG0015170				FOXG_07675-t26_1-p1					
OG0015171				FOXG_07681-t26_1-p1					
OG0015172				FOXG_07716-t26_1-p1					
OG0015173				FOXG_07720-t26_1-p1					
OG0015174				FOXG_07721-t26_1-p1					
OG0015175				FOXG_07774-t26_1-p1					
OG0015176				FOXG_07786-t26_1-p1					
OG0015177				FOXG_07791-t26_1-p1					
OG0015178				FOXG_07791-t26_2-p1					
OG0015179				FOXG_07811-t26_2-p1					
OG0015180				FOXG_07811-t26_4-p1					
OG0015181				FOXG_07811-t26_6-p1					
OG0015182				FOXG_07811-t26_7-p1					
OG0015183				FOXG_07811-t26_8-p1					
OG0015184				FOXG_07811-t26_9-p1					
OG0015185				FOXG_07844-t26_1-p1					
OG0015186				FOXG_07844-t26_2-p1					
OG0015187				FOXG_07846-t26_1-p1					
OG0015188				FOXG_07846-t26_2-p1					
OG0015189				FOXG_07846-t26_3-p1					
OG0015190				FOXG_07846-t26_4-p1					
OG0015191				FOXG_07847-t26_1-p1					
OG0015192				FOXG_07848-t26_1-p1					
OG0015193				FOXG_07849-t26_1-p1					
OG0015194				FOXG_07851-t26_1-p1					
OG0015195				FOXG_07856-t26_1-p1					
OG0015196				FOXG_07860-t26_1-p1					
OG0015197				FOXG_07865-t26_1-p1					
OG0015198				FOXG_07872-t26_1-p1					
OG0015199				FOXG_07893-t26_1-p1					
OG0015200				FOXG_07917-t26_1-p1					
OG0015201				FOXG_07918-t26_1-p1					
OG0015202				FOXG_07928-t26_1-p1					
OG0015203				FOXG_07928-t26_2-p1					
OG0015204				FOXG_07929-t26_1-p1					
OG0015205				FOXG_07930-t26_1-p1					
OG0015206				FOXG_07931-t26_1-p1					
OG0015207				FOXG_07932-t26_1-p1					
OG0015208				FOXG_07939-t26_1-p1					
OG0015209				FOXG_07942-t26_1-p1					
OG0015210				FOXG_07951-t26_1-p1					
OG0015211				FOXG_07969-t26_1-p1					
OG0015212				FOXG_07976-t26_2-p1					
OG0015213				FOXG_07987-t26_1-p1					
OG0015214				FOXG_07991-t26_1-p1					
OG0015215				FOXG_07997-t26_1-p1					
OG0015216				FOXG_08008-t26_1-p1					
OG0015217				FOXG_08016-t26_1-p1					
OG0015218				FOXG_08062-t26_1-p1					
OG0015219				FOXG_08075-t26_1-p1					
OG0015220				FOXG_08093-t26_1-p1					
OG0015221				FOXG_08095-t26_1-p1					
OG0015222				FOXG_08096-t26_1-p1					
OG0015223				FOXG_18634-t26_1-p1					
OG0015224				FOXG_18635-t26_1-p1					
OG0015225				FOXG_18639-t26_1-p1					
OG0015226				FOXG_18640-t26_1-p1					
OG0015227				FOXG_18641-t26_1-p1					
OG0015228				FOXG_18642-t26_1-p1					
OG0015229				FOXG_18642-t26_2-p1					
OG0015230				FOXG_18642-t26_3-p1					
OG0015231				FOXG_18643-t26_1-p1					
OG0015232				FOXG_18646-t26_1-p1					
OG0015233				FOXG_18650-t26_1-p1					
OG0015234				FOXG_18651-t26_1-p1					
OG0015235				FOXG_18651-t26_2-p1					
OG0015236				FOXG_18651-t26_3-p1					
OG0015237				FOXG_18652-t26_1-p1					
OG0015238				FOXG_18653-t26_1-p1					
OG0015239				FOXG_18655-t26_1-p1					
OG0015240				FOXG_18658-t26_1-p1					
OG0015241				FOXG_18659-t26_1-p1					
OG0015242				FOXG_18660-t26_1-p1					
OG0015243				FOXG_18661-t26_1-p1					
OG0015244				FOXG_18662-t26_1-p1					
OG0015245				FOXG_18663-t26_1-p1					
OG0015246				FOXG_18664-t26_1-p1					
OG0015247				FOXG_18666-t26_1-p1					
OG0015248				FOXG_18668-t26_1-p1					
OG0015249				FOXG_18669-t26_1-p1					
OG0015250				FOXG_18670-t26_1-p1					
OG0015251				FOXG_18671-t26_1-p1					
OG0015252				FOXG_18672-t26_1-p1					
OG0015253				FOXG_18673-t26_1-p1					
OG0015254				FOXG_18674-t26_1-p1					
OG0015255				FOXG_18676-t26_1-p1					
OG0015256				FOXG_18678-t26_1-p1					
OG0015257				FOXG_18678-t26_2-p1					
OG0015258				FOXG_18680-t26_1-p1					
OG0015259				FOXG_18681-t26_1-p1					
OG0015260				FOXG_18681-t26_2-p1					
OG0015261				FOXG_18682-t26_1-p1					
OG0015262				FOXG_18683-t26_1-p1					
OG0015263				FOXG_18686-t26_1-p1					
OG0015264				FOXG_18687-t26_1-p1					
OG0015265				FOXG_18688-t26_1-p1					
OG0015266				FOXG_18689-t26_1-p1					
OG0015267				FOXG_18690-t26_1-p1					
OG0015268				FOXG_18691-t26_1-p1					
OG0015269				FOXG_18692-t26_1-p1					
OG0015270				FOXG_18693-t26_1-p1					
OG0015271				FOXG_18697-t26_1-p1					
OG0015272				FOXG_18698-t26_1-p1					
OG0015273				FOXG_18699-t26_1-p1					
OG0015274				FOXG_18701-t26_1-p1					
OG0015275				FOXG_18702-t26_1-p1					
OG0015276				FOXG_18704-t26_1-p1					
OG0015277				FOXG_18705-t26_1-p1					
OG0015278				FOXG_18707-t26_1-p1					
OG0015279				FOXG_18709-t26_1-p1					
OG0015280				FOXG_18710-t26_1-p1					
OG0015281				FOXG_18711-t26_1-p1					
OG0015282				FOXG_18713-t26_1-p1					
OG0015283				FOXG_18715-t26_1-p1					
OG0015284				FOXG_18718-t26_1-p1					
OG0015285				FOXG_18719-t26_1-p1					
OG0015286				FOXG_18720-t26_1-p1					
OG0015287				FOXG_18726-t26_1-p1					
OG0015288				FOXG_18727-t26_1-p1					
OG0015289				FOXG_18728-t26_1-p1					
OG0015290				FOXG_18732-t26_1-p1					
OG0015291				FOXG_18733-t26_1-p1					
OG0015292				FOXG_18734-t26_1-p1					
OG0015293				FOXG_18737-t26_1-p1					
OG0015294				FOXG_18740-t26_1-p1					
OG0015295				FOXG_18741-t26_1-p1					
OG0015296				FOXG_18743-t26_1-p1					
OG0015297				FOXG_18744-t26_1-p1					
OG0015298				FOXG_18745-t26_1-p1					
OG0015299				FOXG_18746-t26_1-p1					
OG0015300				FOXG_18747-t26_1-p1					
OG0015301				FOXG_18747-t26_2-p1					
OG0015302				FOXG_18747-t26_3-p1					
OG0015303				FOXG_18748-t26_1-p1					
OG0015304				FOXG_18749-t26_1-p1					
OG0015305				FOXG_18751-t26_1-p1					
OG0015306				FOXG_18752-t26_1-p1					
OG0015307				FOXG_18754-t26_1-p1					
OG0015308				FOXG_18755-t26_1-p1					
OG0015309				FOXG_18756-t26_1-p1					
OG0015310				FOXG_18758-t26_1-p1					
OG0015311				FOXG_18761-t26_1-p1					
OG0015312				FOXG_18762-t26_1-p1					
OG0015313				FOXG_18765-t26_1-p1					
OG0015314				FOXG_18766-t26_1-p1					
OG0015315				FOXG_18768-t26_1-p1					
OG0015316				FOXG_18769-t26_1-p1					
OG0015317				FOXG_18771-t26_1-p1					
OG0015318				FOXG_18772-t26_1-p1					
OG0015319				FOXG_18773-t26_1-p1					
OG0015320				FOXG_18774-t26_1-p1					
OG0015321				FOXG_18775-t26_1-p1					
OG0015322				FOXG_18777-t26_1-p1					
OG0015323				FOXG_18779-t26_1-p1					
OG0015324				FOXG_18780-t26_1-p1					
OG0015325				FOXG_18781-t26_1-p1					
OG0015326				FOXG_18782-t26_1-p1					
OG0015327				FOXG_18782-t26_2-p1					
OG0015328				FOXG_18783-t26_1-p1					
OG0015329				FOXG_18784-t26_1-p1					
OG0015330				FOXG_18785-t26_1-p1					
OG0015331				FOXG_18786-t26_1-p1					
OG0015332				FOXG_18787-t26_1-p1					
OG0015333				FOXG_18789-t26_1-p1					
OG0015334				FOXG_18789-t26_2-p1					
OG0015335				FOXG_18790-t26_1-p1					
OG0015336				FOXG_18791-t26_1-p1					
OG0015337				FOXG_18792-t26_1-p1					
OG0015338				FOXG_18793-t26_1-p1					
OG0015339				FOXG_18795-t26_1-p1					
OG0015340				FOXG_18797-t26_1-p1					
OG0015341				FOXG_18798-t26_1-p1					
OG0015342				FOXG_18801-t26_1-p1					
OG0015343				FOXG_18803-t26_1-p1					
OG0015344				FOXG_18804-t26_1-p1					
OG0015345				FOXG_18805-t26_1-p1					
OG0015346				FOXG_18810-t26_1-p1					
OG0015347				FOXG_18812-t26_1-p1					
OG0015348				FOXG_18813-t26_1-p1					
OG0015349				FOXG_18816-t26_1-p1					
OG0015350				FOXG_18818-t26_1-p1					
OG0015351				FOXG_18819-t26_1-p1					
OG0015352				FOXG_18820-t26_1-p1					
OG0015353				FOXG_18822-t26_1-p1					
OG0015354				FOXG_18823-t26_1-p1					
OG0015355				FOXG_18824-t26_1-p1					
OG0015356				FOXG_18828-t26_1-p1					
OG0015357				FOXG_18829-t26_1-p1					
OG0015358				FOXG_18830-t26_1-p1					
OG0015359				FOXG_18832-t26_1-p1					
OG0015360				FOXG_18833-t26_1-p1					
OG0015361				FOXG_18833-t26_2-p1					
OG0015362				FOXG_18835-t26_1-p1					
OG0015363				FOXG_18836-t26_1-p1					
OG0015364				FOXG_18837-t26_1-p1					
OG0015365				FOXG_18839-t26_1-p1					
OG0015366				FOXG_18840-t26_1-p1					
OG0015367				FOXG_18842-t26_1-p1					
OG0015368				FOXG_18843-t26_1-p1					
OG0015369				FOXG_18845-t26_1-p1					
OG0015370				FOXG_18846-t26_1-p1					
OG0015371				FOXG_18847-t26_1-p1					
OG0015372				FOXG_18850-t26_1-p1					
OG0015373				FOXG_18851-t26_1-p1					
OG0015374				FOXG_18851-t26_2-p1					
OG0015375				FOXG_18852-t26_1-p1					
OG0015376				FOXG_18855-t26_1-p1					
OG0015377				FOXG_18856-t26_1-p1					
OG0015378				FOXG_18858-t26_1-p1					
OG0015379				FOXG_18858-t26_2-p1					
OG0015380				FOXG_18860-t26_1-p1					
OG0015381				FOXG_18862-t26_1-p1					
OG0015382				FOXG_18863-t26_1-p1					
OG0015383				FOXG_18864-t26_1-p1					
OG0015384				FOXG_18865-t26_1-p1					
OG0015385				FOXG_18866-t26_1-p1					
OG0015386				FOXG_18867-t26_1-p1					
OG0015387				FOXG_18869-t26_1-p1					
OG0015388				FOXG_18870-t26_1-p1					
OG0015389				FOXG_18873-t26_1-p1					
OG0015390				FOXG_18876-t26_1-p1					
OG0015391				FOXG_18877-t26_1-p1					
OG0015392				FOXG_18878-t26_1-p1					
OG0015393				FOXG_18879-t26_1-p1					
OG0015394				FOXG_18880-t26_1-p1					
OG0015395				FOXG_18881-t26_1-p1					
OG0015396				FOXG_18882-t26_1-p1					
OG0015397				FOXG_18883-t26_1-p1					
OG0015398				FOXG_18884-t26_1-p1					
OG0015399				FOXG_19476-t26_1-p1					
OG0015400				FOXG_19477-t26_1-p1					
OG0015401				FOXG_19478-t26_1-p1					
OG0015402				FOXG_19479-t26_1-p1					
OG0015403				FOXG_19480-t26_1-p1					
OG0015404				FOXG_19482-t26_1-p1					
OG0015405				FOXG_19483-t26_1-p1					
OG0015406				FOXG_19484-t26_1-p1					
OG0015407				FOXG_19485-t26_1-p1					
OG0015408				FOXG_19487-t26_1-p1					
OG0015409				FOXG_19489-t26_1-p1					
OG0015410				FOXG_19492-t26_1-p1					
OG0015411				FOXG_19494-t26_1-p1					
OG0015412				FOXG_19496-t26_1-p1					
OG0015413				FOXG_19497-t26_1-p1					
OG0015414				FOXG_19499-t26_1-p1					
OG0015415				FOXG_19502-t26_1-p1					
OG0015416				FOXG_19503-t26_1-p1					
OG0015417				FOXG_19504-t26_1-p1					
OG0015418				FOXG_19505-t26_1-p1					
OG0015419				FOXG_19505-t26_2-p1					
OG0015420				FOXG_19506-t26_1-p1					
OG0015421				FOXG_19507-t26_1-p1					
OG0015422				FOXG_19509-t26_1-p1					
OG0015423				FOXG_19510-t26_1-p1					
OG0015424				FOXG_19512-t26_1-p1					
OG0015425				FOXG_19513-t26_1-p1					
OG0015426				FOXG_19514-t26_1-p1					
OG0015427				FOXG_19516-t26_1-p1					
OG0015428				FOXG_19518-t26_1-p1					
OG0015429				FOXG_19522-t26_1-p1					
OG0015430				FOXG_19522-t26_2-p1					
OG0015431				FOXG_19527-t26_1-p1					
OG0015432				FOXG_19528-t26_1-p1					
OG0015433				FOXG_19529-t26_1-p1					
OG0015434				FOXG_19531-t26_1-p1					
OG0015435				FOXG_19533-t26_1-p1					
OG0015436				FOXG_19534-t26_1-p1					
OG0015437				FOXG_19534-t26_10-p1					
OG0015438				FOXG_19534-t26_11-p1					
OG0015439				FOXG_19534-t26_12-p1					
OG0015440				FOXG_19534-t26_13-p1					
OG0015441				FOXG_19534-t26_14-p1					
OG0015442				FOXG_19534-t26_15-p1					
OG0015443				FOXG_19534-t26_2-p1					
OG0015444				FOXG_19534-t26_3-p1					
OG0015445				FOXG_19534-t26_4-p1					
OG0015446				FOXG_19534-t26_5-p1					
OG0015447				FOXG_19534-t26_6-p1					
OG0015448				FOXG_19534-t26_7-p1					
OG0015449				FOXG_19534-t26_8-p1					
OG0015450				FOXG_19534-t26_9-p1					
OG0015451				FOXG_19536-t26_1-p1					
OG0015452				FOXG_19537-t26_1-p1					
OG0015453				FOXG_19539-t26_1-p1					
OG0015454				FOXG_19541-t26_1-p1					
OG0015455				FOXG_19542-t26_1-p1					
OG0015456				FOXG_19543-t26_1-p1					
OG0015457				FOXG_19544-t26_1-p1					
OG0015458				FOXG_19546-t26_1-p1					
OG0015459				FOXG_19547-t26_1-p1					
OG0015460				FOXG_19548-t26_1-p1					
OG0015461				FOXG_19549-t26_1-p1					
OG0015462				FOXG_19551-t26_1-p1					
OG0015463				FOXG_19553-t26_1-p1					
OG0015464				FOXG_19554-t26_1-p1					
OG0015465				FOXG_19555-t26_1-p1					
OG0015466				FOXG_19556-t26_1-p1					
OG0015467				FOXG_19558-t26_1-p1					
OG0015468				FOXG_19560-t26_1-p1					
OG0015469				FOXG_19560-t26_2-p1					
OG0015470				FOXG_19561-t26_1-p1					
OG0015471				FOXG_19562-t26_1-p1					
OG0015472				FOXG_19564-t26_1-p1					
OG0015473				FOXG_19567-t26_1-p1					
OG0015474				FOXG_19568-t26_1-p1					
OG0015475				FOXG_19569-t26_1-p1					
OG0015476				FOXG_19569-t26_2-p1					
OG0015477				FOXG_19569-t26_3-p1					
OG0015478				FOXG_19570-t26_1-p1					
OG0015479				FOXG_19572-t26_1-p1					
OG0015480				FOXG_19575-t26_1-p1					
OG0015481				FOXG_01406-t26_1-p1					
OG0015482				FOXG_01430-t26_1-p1					
OG0015483				FOXG_01457-t26_1-p1					
OG0015484				FOXG_01467-t26_1-p1					
OG0015485				FOXG_01499-t26_1-p1					
OG0015486				FOXG_01500-t26_1-p1					
OG0015487				FOXG_01501-t26_1-p1					
OG0015488				FOXG_01501-t26_2-p1					
OG0015489				FOXG_01513-t26_1-p1					
OG0015490				FOXG_01514-t26_1-p1					
OG0015491				FOXG_01518-t26_1-p1					
OG0015492				FOXG_01548-t26_1-p1					
OG0015493				FOXG_01549-t26_1-p1					
OG0015494				FOXG_01551-t26_1-p1					
OG0015495				FOXG_01552-t26_1-p1					
OG0015496				FOXG_01554-t26_1-p1					
OG0015497				FOXG_01592-t26_1-p1					
OG0015498				FOXG_01594-t26_1-p1					
OG0015499				FOXG_01594-t26_2-p1					
OG0015500				FOXG_01594-t26_3-p1					
OG0015501				FOXG_01594-t26_4-p1					
OG0015502				FOXG_01594-t26_5-p1					
OG0015503				FOXG_01649-t26_1-p1					
OG0015504				FOXG_01656-t26_1-p1					
OG0015505				FOXG_01683-t26_1-p1					
OG0015506				FOXG_01707-t26_1-p1					
OG0015507				FOXG_01715-t26_1-p1					
OG0015508				FOXG_01716-t26_1-p1					
OG0015509				FOXG_01723-t26_1-p1					
OG0015510				FOXG_01727-t26_1-p1					
OG0015511				FOXG_01743-t26_1-p1					
OG0015512				FOXG_01743-t26_2-p1					
OG0015513				FOXG_01744-t26_1-p1					
OG0015514				FOXG_01744-t26_2-p1					
OG0015515				FOXG_01746-t26_1-p1					
OG0015516				FOXG_01755-t26_1-p1					
OG0015517				FOXG_01771-t26_1-p1					
OG0015518				FOXG_01771-t26_2-p1					
